unique_id,year,term,difficulty,topic,small_step,video_id,video_title,channel,duration_formatted,semantic_scores,instruction_quality_scores,combined_scores
Year 6_Autumn__Fractions B_Fraction of an amount,Year 6,Autumn,,Fractions B,Fraction of an amount,w56DTZT5gIw|06JK1x-hqIA|WImHIZiWkNg,How Do I Calculate Fractions of Amounts? | KS2 Maths Concept for Kids|6.12 - Decompose into Unit Fractions|Comparing and Ordering Fractions by Finding a Common Numerator | KS2 Maths,Twinkl_Educational_Publishing|DSD_Advantage_Math|Twinkl_Educational_Publishing,00:03:54|00:05:36|00:06:04,0.8162|0.7320|0.7341,75.0|75.0|60.0,0.7897|0.7392|0.6805
Year 6_Autumn__Fractions B_Fraction of an amount – find the whole,Year 6,Autumn,,Fractions B,Fraction of an amount – find the whole,jqghrJCMhYA|9aro188xWiU|IlTHgtsekB0,Working With Fractions - Identify and Compare Fractions to a Whole|Dividing Fractions by Whole Numbers: Part 2 - Using Reciprocal Fractions|How Do You Convert Between Improper and Mixed Fractions? | KS2 Maths Concept for Kids,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing,00:13:04|00:06:21|00:05:34,0.7283|0.7231|0.7322,85.0|75.0|55.0,0.7770|0.7338|0.6593
Year 6_Spring__Ratio_Add or multiply?,Year 6,Spring,,Ratio,Add or multiply?,RQ2nYUBVvqI|0bjnRdYeHr8|F6HzJmH6alg,"Math Antics - Ratios And Rates|Grade 2 Math  12.2, Addition & Multiplication  (relation)|Divide Positive and Negative Integers - Prealgebra 1 for Kids and Teens!",mathantics|JoAnn's_School|Miacademy_&_MiaPrep_Learning_Channel,00:08:49|00:06:30|00:10:46,0.7011|0.7038|0.7007,70.0|65.0|45.0,0.7007|0.6823|0.6004
Year 6_Spring__Ratio_Use ratio language,Year 6,Spring,,Ratio,Use ratio language,3eJDRmHlfvs|gJ10yTPOMCs|5zvBaTKgcnw,What Is Ratio? | KS2 Maths Concept for Kids|What is the Ratio Symbol? | KS2 Maths Concept for Kids|Year 6 Maths - Monday 1st March 2021 - To compare ratios and fractions,Twinkl_Educational_Publishing|Twinkl_Educational_Publishing|Stoke_Damerel_Primary_School,00:14:12|00:04:34|00:10:00,0.8763|0.8301|0.8446,85.0|75.0|70.0,0.8658|0.7981|0.7867
Year 6_Spring__Ratio_Introduction to the ratio symbol,Year 6,Spring,,Ratio,Introduction to the ratio symbol,3eJDRmHlfvs|gJ10yTPOMCs|RQ2nYUBVvqI,What Is Ratio? | KS2 Maths Concept for Kids|What is the Ratio Symbol? | KS2 Maths Concept for Kids|Math Antics - Ratios And Rates,Twinkl_Educational_Publishing|Twinkl_Educational_Publishing|mathantics,00:14:12|00:04:34|00:08:49,0.8999|0.8490|0.8258,75.0|75.0|70.0,0.8400|0.8094|0.7755
Year 6_Spring__Ratio_Ratio and fractions,Year 6,Spring,,Ratio,Ratio and fractions,RQ2nYUBVvqI|5zvBaTKgcnw|Iiy6K3uk-Qw,Math Antics - Ratios And Rates|Year 6 Maths - Monday 1st March 2021 - To compare ratios and fractions|Difference between Fractions and Ratios : Class 6-10 | Learn with BYJU'S,mathantics|Stoke_Damerel_Primary_School|BYJU'S,00:08:49|00:10:00|00:06:17,0.8429|0.7853|0.7823,75.0|65.0|60.0,0.8057|0.7312|0.7094
Year 6_Spring__Ratio_Scale drawing,Year 6,Spring,,Ratio,Scale drawing,a_ZlnD3N-Ik|SlYDUyDeTMs|H2k7r64KPic,Scaling Refresher - How To Find Scale Factor and Missing Sides|Scaling on the Coordinate Plane - How To Scale Coordinates|Scale drawings 1 (7th grade math),Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Maths_4_Kids,00:10:05|00:09:41|00:08:05,0.7672|0.7572|0.7968,85.0|85.0|65.0,0.8003|0.7943|0.7381
Year 6_Spring__Ratio_Use scale factors,Year 6,Spring,,Ratio,Use scale factors,ecc9qXeLegU|iKASqoBG-_s|3ioBM9PMBI0,How Do I Use Scale Factors? | KS2 Maths Concept for Kids|Scale Factor Enlargement KS2 Maths|The Four Transformations In Maths,Twinkl_Educational_Publishing|Mathematics_Philosophy|Minity_Maths,00:04:30|00:04:52|00:04:13,0.8988|0.8398|0.8369,75.0|65.0|45.0,0.8393|0.7639|0.6822
Year 6_Spring__Ratio_Similar shapes,Year 6,Spring,,Ratio,Similar shapes,daUH79CkNS8|VHQ_WoyQdUg|ecc9qXeLegU,Corresponding Parts: Part 2 - Using Corresponding Sides and Angles To Determine Shape Similarity|Area of Similar Figures - Using Ratios To Compare Areas|How Do I Use Scale Factors? | KS2 Maths Concept for Kids,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing,00:10:12|00:11:51|00:04:30,0.8617|0.8348|0.8378,85.0|75.0|70.0,0.8570|0.8009|0.7827
Year 6_Spring__Ratio_Ratio problems,Year 6,Spring,,Ratio,Ratio problems,uTrfmTLRv1Q|3eJDRmHlfvs|RtxHlDvKvEo,How Do I Solve Ratio Problems? | KS2 Maths Concept for Kids|What Is Ratio? | KS2 Maths Concept for Kids|Algebra word problems,Twinkl_Educational_Publishing|Twinkl_Educational_Publishing|Maths_4_Kids,00:06:14|00:14:12|00:05:03,0.7759|0.7597|0.7771,75.0|75.0|45.0,0.7655|0.7558|0.6462
Year 6_Spring__Ratio_Proportion problems,Year 6,Spring,,Ratio,Proportion problems,X-V18L4wVXw|s6vNggGjHXI|3eJDRmHlfvs,How Do You Solve Proportion Problems? | KS2 Maths Concept for Kids|Solving Proportions - Geometry Practice With Proportions|What Is Ratio? | KS2 Maths Concept for Kids,Twinkl_Educational_Publishing|Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing,00:04:55|00:14:17|00:14:12,0.8806|0.7602|0.7782,75.0|85.0|75.0,0.8284|0.7961|0.7669
Year 6_Spring__Ratio_Recipes,Year 6,Spring,,Ratio,Recipes,VWO1m0S-a9Y|icd9Y3hUF5E|0M7R0KGpXns,Ratios for recipes|Proportions - Basic Idea and Algebra - Part 1 of 2|Proportions - Solving Equations With Equal Fractions,Khan_Academy|PatrickJ|Miacademy_&_MiaPrep_Learning_Channel,00:04:51|00:07:52|00:10:02,0.7697|0.7827|0.7788,85.0|60.0|60.0,0.8018|0.7096|0.7073
Year 6_Spring__Algebra_1-step function machines,Year 6,Spring,,Algebra,1-step function machines,dx8ZRr5OlYI|5R-WjmWu9_Y|O6puYH921ps,"Evaluating Functions - How To Use Function Notation and Find Values|Function machines|Unit Introduction Functions - Exploring Inputs, Outputs, and Tables",Miacademy_&_MiaPrep_Learning_Channel|Maesteg_Maths|Miacademy_&_MiaPrep_Learning_Channel,00:12:09|00:05:27|00:04:56,0.8690|0.8466|0.8262,75.0|75.0|75.0,0.8214|0.8080|0.7957
Year 6_Spring__Algebra_2-step function machines,Year 6,Spring,,Algebra,2-step function machines,5R-WjmWu9_Y|a0z3hQ4Qtxw|jnguI1FtOjM,Function machines|2 Step Function Machines|One Step Function Machines,Maesteg_Maths|Summerhill_Maths|Miss_P-H,00:05:27|00:08:25|00:04:39,0.8660|0.9265|0.8460,75.0|65.0|65.0,0.8196|0.8159|0.7676
Year 6_Spring__Algebra_Form expressions,Year 6,Spring,,Algebra,Form expressions,E-EfBy-Pgno|31Vl8SmvVFM|WZdZhuUSmpM,"Parts of Algebraic Expressions – Identifying Variables, Terms, and More|How Do You Form Algebraic Expressions? | KS2 Maths Concept for Kids|Introduction to Algebra: Using Variables",Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing|Professor_Dave_Explains,00:12:49|00:04:35|00:04:04,0.8511|0.8421|0.8551,85.0|75.0|70.0,0.8507|0.8053|0.7931
Year 6_Spring__Algebra_Substitution,Year 6,Spring,,Algebra,Substitution,ABWiUiwTM-Q|Uu6uT3sFyNo|vDqOoI-4Z6M,"Evaluating Expressions - Variables, Substitution, and Evaluation|Evaluating Algebraic Expressions: Part 1 - Substitution and GEMS|What are variables, expressions, and equations? | Introduction to algebra | Algebra I | Khan Academy",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Khan_Academy,00:09:56|00:14:08|00:06:55,0.8502|0.8219|0.7875,85.0|85.0|65.0,0.8501|0.8332|0.7325
Year 6_Spring__Algebra_Formulae,Year 6,Spring,,Algebra,Formulae,DrxaqxRAlT8|xYI0DFglhe0|-nP-A60kmJU,"Creating, Substituting, and Rearranging Formulae: Edexcel GCSE Maths Revision|What Is Algebraic Formula? | KS2 Maths Concept for Kids|Dealing with formulas (8th grade math/algebra)",Math_Revision_LM|Twinkl_Educational_Publishing|Maths_4_Kids,00:06:10|00:05:15|00:04:38,0.7563|0.8096|0.7405,85.0|70.0|60.0,0.7938|0.7657|0.6843
Year 6_Spring__Algebra_Form equations,Year 6,Spring,,Algebra,Form equations,IK8qjqG98jc|wX8b0hdmRao|vDqOoI-4Z6M,"Introduction to Expressions - Interpreting and Evaluating Numerical Expressions|How Do You Solve One Step Equations in Algebra? | KS2 Maths Concept for Kids|What are variables, expressions, and equations? | Introduction to algebra | Algebra I | Khan Academy",Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing|Khan_Academy,00:12:37|00:04:42|00:06:55,0.7307|0.7302|0.7394,85.0|75.0|65.0,0.7784|0.7381|0.7036
Year 6_Spring__Algebra_Solve 1-step equations,Year 6,Spring,,Algebra,Solve 1-step equations,qg5hCaZlKEY|1kLejEfyrps|is7Bp4ZqzU0,Solving Equations Using Substitution - What Does It Mean To Solve an Equation?|One-Step Equations - How To Solve One-Step Algebra Equations|Model & Solve Two Step Equations THREE Ways | 7.EE.B.4.a 💚,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|The_Magic_of_Math,00:08:17|00:12:50|00:00:00,0.8121|0.7686|0.7732,85.0|85.0|65.0,0.8273|0.8012|0.7239
Year 6_Spring__Algebra_Solve 2-step equations,Year 6,Spring,,Algebra,Solve 2-step equations,is7Bp4ZqzU0|LDIiYKYvvdA|7nUXDF4co_w,Model & Solve Two Step Equations THREE Ways | 7.EE.B.4.a 💚|Algebra Basics: Solving 2-Step Equations - Math Antics|Two-Step Equations: Part 1 - Solving With Inverse Operations,The_Magic_of_Math|mathantics|Miacademy_&_MiaPrep_Learning_Channel,00:00:00|00:10:29|00:12:20,0.9172|0.8336|0.8217,85.0|85.0|85.0,0.8903|0.8402|0.8330
Year 6_Spring__Algebra_Find pairs of values,Year 6,Spring,,Algebra,Find pairs of values,tndXnHTm4No|v9cojqqo13I|V7H1oUHXPkg,Solutions to Linear Equations – Check Whether a Point Is a Solution|How Do You Find Pairs of Values in Algebra? | KS2 Maths Concept for Kids|Solving linear systems by substitution | Algebra Basics | Khan Academy,Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing|Khan_Academy,00:08:33|00:03:25|00:09:21,0.7546|0.7838|0.7366,85.0|75.0|70.0,0.7928|0.7703|0.7220
Year 6_Spring__Algebra_Solve problems with two unknowns,Year 6,Spring,,Algebra,Solve problems with two unknowns,is7Bp4ZqzU0|26-SgHwkFf0|NybHckSEQBI,Model & Solve Two Step Equations THREE Ways | 7.EE.B.4.a 💚|How Do You Solve Algebraic Problems with Two Unknowns? | KS2 Maths Concept for Kids|Algebra Basics: What Is Algebra? - Math Antics,The_Magic_of_Math|Twinkl_Educational_Publishing|mathantics,00:00:00|00:04:04|00:12:07,0.7842|0.8122|0.7288,85.0|75.0|60.0,0.8105|0.7873|0.6773
Year 6_Spring__Decimals_Place value within 1,Year 6,Spring,,Decimals,Place value within 1,BsZJGMRWEK0|wF7MvBUqH58|7ebm7Ep-jmA,"Place Value to the Thousandths - Representing Decimal Numbers|Place Value to the Hundredths - How To Read, Write, and Represent Decimals to the Hundredths Place|Working With Numbers: Thousandths to Millions - Decimal and Whole Number Place Value",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:11:30|00:10:02|00:11:33,0.8260|0.8216|0.8203,85.0|85.0|85.0,0.8356|0.8330|0.8322
Year 6_Spring__Decimals_Place value – integers and decimals,Year 6,Spring,,Decimals,Place value – integers and decimals,BsZJGMRWEK0|KG6ILNOiMgM|wF7MvBUqH58,"Place Value to the Thousandths - Representing Decimal Numbers|Math Antics - Decimal Place Value|Place Value to the Hundredths - How To Read, Write, and Represent Decimals to the Hundredths Place",Miacademy_&_MiaPrep_Learning_Channel|mathantics|Miacademy_&_MiaPrep_Learning_Channel,00:11:30|00:11:51|00:10:02,0.8720|0.8598|0.8549,85.0|85.0|85.0,0.8632|0.8559|0.8530
Year 6_Spring__Decimals_Round decimals,Year 6,Spring,,Decimals,Round decimals,qXKj5Q7V8Yo|fd-E18EqSVk|pAeeFvMT-bE,Rounding Whole Numbers and Decimals - Rounding From the Millions to Hundredths Places|Math Antics - Rounding|Dividing Decimals - Decimal Dividends and Whole Number Divisors,Miacademy_&_MiaPrep_Learning_Channel|mathantics|Miacademy_&_MiaPrep_Learning_Channel,00:11:22|00:10:41|00:10:46,0.8453|0.7814|0.8326,85.0|85.0|75.0,0.8472|0.8088|0.7995
Year 6_Spring__Decimals_Add and subtract decimals,Year 6,Spring,,Decimals,Add and subtract decimals,-SUKE9oibIo|k1qdEaNcxq4|kwh4SD1ToFc,Decimals - Add and Subtract in Sixth-Grade Math|DECIMAL ADDITION AND SUBTRACTION🚀 Operations with Decimals for Kids✨|Math Antics - Decimal Arithmetic,Miacademy_&_MiaPrep_Learning_Channel|Smile_and_Learn_-_English|mathantics,00:11:30|00:04:32|00:12:15,0.8659|0.7877|0.7837,85.0|75.0|75.0,0.8596|0.7726|0.7702
"Year 6_Spring__Decimals_Multiply by 10, 100 and 1,000",Year 6,Spring,,Decimals,"Multiply by 10, 100 and 1,000",vC9tzJdK-DE|rze7Dyi3K20|GfL0s6tCNV4,"Place Value Patterns - Multiplying and Dividing by Powers of 10|Multiplying Decimals - Multidigit Problems for Sixth Grade|Multiplying Decimals by 10, 100, 1000",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Let's_Do_Math,00:13:28|00:11:02|00:04:46,0.8900|0.8244|0.8390,85.0|85.0|70.0,0.8740|0.8346|0.7834
"Year 6_Spring__Decimals_Divide by 10, 100 and 1,000",Year 6,Spring,,Decimals,"Divide by 10, 100 and 1,000",vC9tzJdK-DE|BsZJGMRWEK0|z0orumNrA3k,"Place Value Patterns - Multiplying and Dividing by Powers of 10|Place Value to the Thousandths - Representing Decimal Numbers|Dividing by 10, 100 and 1000 Made Simple (With Decimals)",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Maths_with_Mrs_B,00:13:28|00:11:30|00:04:48,0.9136|0.9007|0.8620,85.0|85.0|70.0,0.8882|0.8804|0.7972
Year 6_Spring__Decimals_Multiply decimals by integers,Year 6,Spring,,Decimals,Multiply decimals by integers,w0qxujx-L3A|rMyX0STdnEY|zbdZ5-5eW3c,Multiplying Decimals With Matching Place Values - Find the Product and Place the Decimal|How Do You Multiply by 1000? | KS2 Maths Concept for Kids|How to Multiply a Decimal by a Decimal | Math with Mr. J,Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing|Math_with_Mr._J,00:10:33|00:03:15|00:10:05,0.8422|0.7730|0.8013,85.0|70.0|60.0,0.8453|0.7438|0.7208
Year 6_Spring__Decimals_Divide decimals by integers,Year 6,Spring,,Decimals,Divide decimals by integers,81dCm6x6UUo|PCAHd35qUZ4|VRQkP1xeRwQ,Decimal Dividends: Part 1 - Dividing Decimals by Whole Numbers|Decimal Divisors: Part 1 - Division With Decimal Divisors|Dividing by a Mixed Decimal | Dividing Decimals | Math with Mr. J,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Math_with_Mr._J,00:08:38|00:08:47|00:16:02,0.7629|0.7611|0.7540,85.0|85.0|65.0,0.7977|0.7967|0.7124
Year 6_Spring__Decimals_Multiply and divide decimals in context,Year 6,Spring,,Decimals,Multiply and divide decimals in context,w0qxujx-L3A|81dCm6x6UUo|kwh4SD1ToFc,Multiplying Decimals With Matching Place Values - Find the Product and Place the Decimal|Decimal Dividends: Part 1 - Dividing Decimals by Whole Numbers|Math Antics - Decimal Arithmetic,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|mathantics,00:10:33|00:08:38|00:12:15,0.7437|0.7334|0.7368,85.0|85.0|75.0,0.7862|0.7801|0.7421
Year 6_Spring__Fractions decimals and percentages_Decimal and fraction equivalents,Year 6,Spring,,Fractions decimals and percentages,Decimal and fraction equivalents,apkY62HrJtU|7xUkMakLBN0|YrDYCwLIwI0,"Connecting Fractions and Decimals - How To Convert Between Them|Fractions, Decimals and Percentages Equivalence | KS2 Maths|Converting Decimals and Fractions - How To Change Between Decimals and Fractions",Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing|Miacademy_&_MiaPrep_Learning_Channel,00:12:55|00:05:12|00:09:36,0.7901|0.8404|0.7363,85.0|70.0|85.0,0.8140|0.7842|0.7818
Year 6_Spring__Fractions decimals and percentages_Fractions as division,Year 6,Spring,,Fractions decimals and percentages,Fractions as division,apkY62HrJtU|Tceuvg9vjyc|do_IbHId2Os,Connecting Fractions and Decimals - How To Convert Between Them|Math Antics - Converting Any Fraction|Math Antics - Convert any Fraction to a Decimal,Miacademy_&_MiaPrep_Learning_Channel|mathantics|mathantics,00:12:55|00:06:36|00:06:43,0.8205|0.8185|0.8180,85.0|75.0|75.0,0.8323|0.7911|0.7908
Year 6_Spring__Fractions decimals and percentages_Understand percentages,Year 6,Spring,,Fractions decimals and percentages,Understand percentages,JeVSmq1Nrpw|AWH-nSLb7uE|6piJRILEHRE,"Math Antics - What Are Percentages?|Decimal, Fraction, Percent Conversions - How To Convert Between Them|How Do You Calculate Percentages Using Pie Charts? | KS2 Maths Concept for Kids",mathantics|Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing,00:08:53|00:10:22|00:06:07,0.7667|0.7297|0.7593,85.0|75.0|70.0,0.8000|0.7378|0.7356
Year 6_Spring__Fractions decimals and percentages_Fractions to percentages,Year 6,Spring,,Fractions decimals and percentages,Fractions to percentages,AWH-nSLb7uE|7xUkMakLBN0|w_J_WQnAqjE,"Decimal, Fraction, Percent Conversions - How To Convert Between Them|Fractions, Decimals and Percentages Equivalence | KS2 Maths|Expressing Ratios as Fractions or Percentages - Corbettmaths",Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing|corbettmaths,00:10:22|00:05:12|00:06:36,0.8166|0.8396|0.8008,85.0|65.0|60.0,0.8300|0.7638|0.7205
"Year 6_Spring__Fractions decimals and percentages_Equivalent fractions, decimals and percentages",Year 6,Spring,,Fractions decimals and percentages,"Equivalent fractions, decimals and percentages",apkY62HrJtU|YrDYCwLIwI0|7xUkMakLBN0,"Connecting Fractions and Decimals - How To Convert Between Them|Converting Decimals and Fractions - How To Change Between Decimals and Fractions|Fractions, Decimals and Percentages Equivalence | KS2 Maths",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing,00:12:55|00:09:36|00:05:12,0.7881|0.7703|0.8517,85.0|85.0|70.0,0.8129|0.8022|0.7910
"Year 6_Spring__Fractions decimals and percentages_Order fractions, decimals and percentages",Year 6,Spring,,Fractions decimals and percentages,"Order fractions, decimals and percentages",id1vc2etwNU|iK1o8_E8wnA|Rfr9AcYcRx4,"Comparing and Ordering Decimals and Fractions - Learn To Compare Numbers for Kids|Ordering Numbers - Least To Greatest and Vice Versa|Ordering Fractions - How To Compare Fractions to Benchmark Fractions, Order Fractions",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:11:16|00:09:59|00:09:16,0.8418|0.7818|0.7453,85.0|85.0|85.0,0.8451|0.8091|0.7872
Year 6_Spring__Fractions decimals and percentages_Percentage of an amount – one step,Year 6,Spring,,Fractions decimals and percentages,Percentage of an amount – one step,J_2pU75Feqc|KlwFm-5r9Y0|efT_S7fiD4g,How Do You Find a Percentage of an Amount with Multiple Steps? | KS2 Maths Concept for Kids|How Do You Find a Percentage of an Amount with a Single Step? | KS2 Maths Concept for Kids|Master Percentages with These 3 Fast Tricks,Twinkl_Educational_Publishing|Twinkl_Educational_Publishing|Maths_with_Mrs_B,00:03:24|00:04:36|00:06:08,0.8408|0.8314|0.8301,75.0|75.0|75.0,0.8045|0.7988|0.7981
Year 6_Spring__Fractions decimals and percentages_Percentage of an amount – multi-step,Year 6,Spring,,Fractions decimals and percentages,Percentage of an amount – multi-step,J_2pU75Feqc|efT_S7fiD4g|f9bBk5mweeU,"How Do You Find a Percentage of an Amount with Multiple Steps? | KS2 Maths Concept for Kids|Master Percentages with These 3 Fast Tricks|Learn to Calculate 25%, 50% and 75% of a Number Fast!",Twinkl_Educational_Publishing|Maths_with_Mrs_B|Maths_with_Mrs_B,00:03:24|00:06:08|00:06:48,0.8178|0.7755|0.7555,75.0|75.0|75.0,0.7907|0.7653|0.7533
Year 6_Spring__Fractions decimals and percentages_Percentages – missing values,Year 6,Spring,,Fractions decimals and percentages,Percentages – missing values,AWH-nSLb7uE|ftYuX7-jNzk|6piJRILEHRE,"Decimal, Fraction, Percent Conversions - How To Convert Between Them|How Do You Calculate Missing Values in Percentages? | KS2 Maths Concept for Kids|How Do You Calculate Percentages Using Pie Charts? | KS2 Maths Concept for Kids",Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing|Twinkl_Educational_Publishing,00:10:22|00:04:59|00:06:07,0.7935|0.8443|0.7331,85.0|75.0|65.0,0.8161|0.8066|0.6999
Year 6_Spring__Area perimeter and volume_Shapes – same area,Year 6,Spring,,Area perimeter and volume,Shapes – same area,0ZxOTHlbgRM|NJnkVVx-XAk|gyFU2rjEcr8,Area vs. Perimeter | MightyOwl Math | 3rd Grade|Perimeter and Area of Rectangles|How Do You Identify Shapes with the Same Area? | KS2 Maths Concept for Kids,MightyOwl|Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing,00:07:06|00:09:33|00:04:16,0.8927|0.7812|0.8328,85.0|85.0|75.0,0.8756|0.8087|0.7997
Year 6_Spring__Area perimeter and volume_Area and perimeter,Year 6,Spring,,Area perimeter and volume,Area and perimeter,NJnkVVx-XAk|xPg9FsxRPQc|0ZxOTHlbgRM,"Perimeter and Area of Rectangles|Parallelograms, Rectangles, and Squares - Calculating Perimeter and Area|Area vs. Perimeter | MightyOwl Math | 3rd Grade",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|MightyOwl,00:09:33|00:10:57|00:07:06,0.7958|0.7613|0.7195,85.0|85.0|85.0,0.8175|0.7968|0.7717
Year 6_Spring__Area perimeter and volume_Area of a triangle – counting squares,Year 6,Spring,,Area perimeter and volume,Area of a triangle – counting squares,THrgM1V9XXk|xCdxURXMdFY|F3gWaMxQy_I,How Do You Calculate The Area of a Triangle by Counting Squares? | KS2 Maths Concept for Kids|Math Antics - Area|Area of a Triangle,Twinkl_Educational_Publishing|mathantics|Math_Grizz,00:03:58|00:10:26|00:03:46,0.8529|0.7742|0.7702,75.0|85.0|70.0,0.8118|0.8045|0.7421
Year 6_Spring__Area perimeter and volume_Area of a right-angled triangle,Year 6,Spring,,Area perimeter and volume,Area of a right-angled triangle,45vTQOfYmbQ|dIb8vG-yVdk|RgA-jbIJxr4,How Do You Calculate the Area of a Right-Angled Triangle? | KS2 Maths Concept for Kids|Area of Polygons: Part 2 - Applying Formulas to the Real World|Top 3 Area Formulas You MUST Know!,Twinkl_Educational_Publishing|Miacademy_&_MiaPrep_Learning_Channel|Maths_with_Mrs_B,00:05:02|00:08:50|00:05:34,0.9548|0.8754|0.8945,85.0|85.0|75.0,0.9129|0.8652|0.8367
Year 6_Spring__Area perimeter and volume_Area of any triangle,Year 6,Spring,,Area perimeter and volume,Area of any triangle,xCdxURXMdFY|sHgw7cbIUSM|45vTQOfYmbQ,Math Antics - Area|Triangles - Calculating Perimeter and Area|How Do You Calculate the Area of a Right-Angled Triangle? | KS2 Maths Concept for Kids,mathantics|Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing,00:10:26|00:09:44|00:05:02,0.8807|0.8605|0.8930,85.0|85.0|70.0,0.8684|0.8563|0.8158
Year 6_Spring__Area perimeter and volume_Area of a parallelogram,Year 6,Spring,,Area perimeter and volume,Area of a parallelogram,cqUSiAT6mV8|RgA-jbIJxr4|rRTXKQpblEc,Parallelograms and Trapezoids Part 2 - Area Practice|Top 3 Area Formulas You MUST Know!|Area of triangles intuition | Algebra I | High School Math | Khan Academy,Miacademy_&_MiaPrep_Learning_Channel|Maths_with_Mrs_B|Khan_Academy,00:10:04|00:05:34|00:05:29,0.9228|0.9487|0.8980,85.0|70.0|75.0,0.8937|0.8492|0.8388
Year 6_Spring__Area perimeter and volume_Volume – counting cubes,Year 6,Spring,,Area perimeter and volume,Volume – counting cubes,7kYu1_52-PI|C3FFjSvV1IM|2hPQYH-3a84,Introduction to Volume: Part 1 - Cubic Measurement|Working With Volume - Volume Formulas for Rectangular Prisms|Volume of Rectangular Prisms,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Math_Grizz,00:09:29|00:10:44|00:06:46,0.8827|0.8198|0.8011,85.0|85.0|75.0,0.8696|0.8319|0.7807
Year 6_Spring__Area perimeter and volume_Volume of a cuboid,Year 6,Spring,,Area perimeter and volume,Volume of a cuboid,C3FFjSvV1IM|itg5KfKNwaU|UHUx5ygYlCM,Working With Volume - Volume Formulas for Rectangular Prisms|How Do You Calculate the Volume of a Cuboid? | KS2 Maths Concept for Kids|Easy Way to Learn to calculate volume and capacity,Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing|Zaaxa_com,00:10:44|00:05:46|00:09:48,0.8472|0.8850|0.9048,85.0|75.0|65.0,0.8483|0.8310|0.8029
Year 6_Spring__Statistics_Line graphs,Year 6,Spring,,Statistics,Line graphs,qn8dtqkTHgE|LT2qP0mriyI|gL5K4Qj492Q,"Line Graphs - Interpreting, Identifying Trends, and Comparing Datasets|Line Plots and Bar Graphs - Solving Problems Involving Fraction Operations|Graph Analysis - How To Solve Problems Using Graphs and Charts",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:11:35|00:10:33|00:07:59,0.7178|0.7055|0.6803,85.0|85.0|85.0,0.7707|0.7633|0.7482
Year 6_Spring__Statistics_Dual bar charts,Year 6,Spring,,Statistics,Dual bar charts,7ML6xN13qqE|gL5K4Qj492Q|p5cCyxKBMsI,Analyzing and Representing Data - How To Find the Mode and Choose a Scale for Graphs|Graph Analysis - How To Solve Problems Using Graphs and Charts|What are Dual Bar Charts? | KS2 Maths Concept for Kids,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing,00:09:47|00:07:59|00:05:26,0.6325|0.5550|0.6751,85.0|85.0|65.0,0.7195|0.6730|0.6651
